title,company,company_location,salary,url,description
Trabajo Remoto (desde Casa) Teleoperador para ONG,Ventas Lab,"Lima, Lima+1 ubicación","S/.1,000 al mes",https://pe.indeed.com/company/Ventas-Lab/jobs/Remoto-teleoperador-ong-3a2fc0e65f623ae9?fccid=8671a602f2131352&vjs=3,"**¡Medio tiempo con buen sueldo!**

Buscamos **TELEOPERADORAS** para importante **ONG** sector educación para
captar donantes para niños y adolescentes. Si te motiva lograr metas,
superarte y generar un impacto en la sociedad ¡ESTA OPORTUNIDAD ES PARA TI!

Requisitos

  * Experiencia 6 meses comprobada en Call Center y/o ventas.
  * Secundario completa
  * Contar con PC/ Laptop y cable de internet
  * Velocidad de internet de 40 MB en adelante

Funciones:

  * Contactar a la base de datos afiliados.
  * Alcanzar los objetivos diarios.
  * Respetar la confidencialidad de la información de la organización, de los donantes y de los posibles donantes.

Beneficios

  * Sueldo básico part time + alta comisiones
  * Capacitaciones semanales y constantes.
  * Línea de carrera y posibilidad de ascenso.
  * Excelente clima laboral.
  * Lunes a Viernes para turno tarde desde 3pm

Horas de medio tiempo: 24 por semana

Tipo de puesto: Medio tiempo, Comisión

Salario: A partir de S/.1,000.00 al mes

Trabajo remoto:

  * Sí

"
Campaña Navideña (Zona Sur) - Reponedor/Asistente de Tienda,Saga Falabella S.A.,"Lima, Lima",None,https://pe.indeed.com/company/Saga-Falabella-S.A./jobs/Campa%C3%B1a-navide%C3%B1a-3f650f537a1f7200?fccid=81d1a72af7d12b7f&vjs=3,"En Saga Falabella nos encontramos en la búsqueda de los mejores talentos para
desempeñarse como **Campaña Navideña (Zona Sur) - Reponedor / Asistente de
Tienda**

 **Tiendas disponibles:**

 **\- Mall del Sur**

 **\- Jockey Plaza**

 **\- Atocongo**

Requisitos:

\- Secundaria Completa

\- De preferencia experiencia en venta de intangibles

\- Disponibilidad para trabajar a tiempo completo (48 horas a la semana,
cierres y aperturas).

\- No requiere experiencia previa.

Funciones:

\- Ordenar y reponer continuamente todos los productos.

\- Reacomodar la mercadería entregada por cualquier área de la tienda
(Probadores, Cajas, etc.) siguiendo los estándares de Visual.

\- Mantener el orden y limpieza de las dependencias de la tienda, de acuerdo a
los parámetros existentes.

\- Atender al cliente con rapidez las veces que sea requerido.

\- Resolver consultas de los clientes sobre temas puntuales de su producto

\- Verificar periódicamente la correcta instalación del sensor de seguridad
así como del código de barras en los productos, de manera de prevenir robos al
interior de la tienda.

\- Participar en el inventario selectivo orientado a algunos productos o
marcas, manteniendo un registro actualizado de pérdidas y acciones vigentes.

\- Mantener la exhibición atractiva según los lineamientos de Visual
Merchandising.

\- Verificar que los productos de su área de responsabilidad se encuentren
listos y preparados para la exhibición.

Tipo de puesto: Tiempo completo, Temporal

Trabajo remoto:

  * No

"
Teleoperador - Atención al Cliente,Universidad César Vallejo,"Los Olivos, Lima",S/.930 al mes,https://pe.indeed.com/company/Universidad-C%C3%A9sar-Vallejo/jobs/Teleoperador-68ed34cf71531d64?fccid=ba452f9e85563c6b&vjs=3,"Prestigiosa Institución Educativa, se encuentra en la búsqueda de 03
Teleoperadores para Atención al cliente (trabajo remoto), según el perfil que
se detalla:

 **REQUISITOS:**

  * Estudiantes de la carrera profesional de Ciencias de la Comunicación, Psicología, Administración o afines.
  * Cursos orientados en atención al cliente, ventas, gestión de reclamos y cobranzas.
  * Experiencia mínima de 1 año en posiciones similares de atención al cliente (call center o presencial).
  * Óptimo nivel de comunicación, compromiso y ser orientado al logro de objetivos.

 **FUNCIONES:**

  * Atención, registro y tipificación de consultas, quejas y reclamos entrantes por canales telefónicos, mensajería instantánea, correo electrónico y redes sociales.
  * Derivación, gestión y seguimiento de casos complejos o que dependan de otras áreas.
  * Ejecución de campañas de contactabilidad (venta, encuestas, cobranza) por canales telefónicos, mensajería instantánea, correo electrónico y redes sociales.
  * Otras actividades del puesto asignadas por su jefatura inmediata.

 **COMPETENCIAS:**

  * Trabajo en equipo
  * Compromiso
  * Atención al cliente
  * Manejo de material administrativo
  * Destreza manual
  * Productividad
  * Tolerancia a la presión

 **BENEFICIOS:**

  * Ingreso a planilla a partir del primer día.
  * Grato ambiente laboral.
  * Convenios educativos.
  * Remuneración: S/930

Duración del contrato: 3 meses

Tipo de puesto: Por contrato

Salario: S/.930.00 al mes

Trabajo remoto:

  * Temporalmente debido al COVID-19

"
Ayudante para minimarket,La Selecta Minimarket,"Lima, Lima+1 ubicación",S/.450 - S/.500 al mes,https://pe.indeed.com/company/La-Selecta-Minimarket/jobs/Ayudante-minimarket-79595c4f700be6b9?fccid=45a65e5879c8f686&vjs=3,"Ayudar con el control de la mercadería y realizar las ventas del día.

Tipo de puesto: Medio tiempo

Salario: S/.450.00 - S/.500.00 al mes

Trabajo remoto:

  * No

"
RECEPCIONISTA - SURCO,Yamanija & Asociados Consultoría,"Santiago de Surco, Lima","S/.1,500 al mes",https://pe.indeed.com/company/Yamanija-&-Asociados-Consultor%C3%ADa/jobs/Recepcionista-cd70b687003d2cf9?fccid=0bcc8c751958e880&vjs=3,"Importante clínica de cirugía estética de una RECEPCIONISTA (TIEMPO COMPLETO)
para SURCO:

 _ **Requisitos:**_

  * Formación técnica en Secretariado. (Deseable)
  *  **Conocimiento de EXCEL nivel INTERMEDIO.**
  * Experiencia laboral en posiciones similares de 2 años.
  * Disponibilidad para trabajar de forma presencial en Surco (Horario: L - V 8 AM - 5 PM / S 9 AM - 1 PM)

 ** _Funciones:_**

  * Atender el proceso de caja.
  * Recepcionar las llamadas y derivarlas.
  * Recepcionar documentos y comprobantes.
  * Manejar las historias clinicas de los pacientes.
  * Atender y apoyar a las diversas areas administrativas

Tipo de puesto: Tiempo completo, Por contrato

Salario: S/.1,500.00 al mes

Pregunta(s) de postulación:

  * ¿En qué distrito vives?
  * ¿Cuál es tu expectativa salarial?

Trabajo remoto:

  * No

"
IMPULSADORA SUPERMERCADO - CAMPAÑA NAVIDEÑA,People Solutions S.A.C,"Lima, Lima",None,https://pe.indeed.com/company/People-Solutions-S.A.C/jobs/Impulsadora-supermercado-9c0329a936b31c66?fccid=39381397950d0b03&vjs=3,"  * Impulsación de productos
  * atención al cliente
  * vocación de servicio

Duración del contrato: 22 días

Fecha límite para postularse: 29/11/2021

Fecha de inicio prevista: 1/12/2021

Tipo de puesto: Tiempo completo, Temporal

Trabajo remoto:

  * No

"
Asesor Administrativo y de Atención al Cliente,TIME JOBS PERU (Startup Latam),"Miraflores, Lima","S/.2,000 al mes",https://pe.indeed.com/company/TIME-JOBS-PERU-(Startup-Latam)/jobs/Asesor-administrativo-atenci%C3%B3n-al-cliente-4b351aa420fc4322?fccid=5b16153000d494bf&vjs=3,"Importante restaurante de Dark kitchen se encuentra la busqueda del mejor
talento para ocupar el puesto de Asesor Administrativo y de Atención al
Cliente.

 **Funciones:**

  * Garantizar la satisfacción al cliente.
  * Apoyo en las tareas administrativas que se le asignen.

  * Hacer seguimiento a los procesos a fin de resolver cualquier inconveniente que se presente con algún cliente.

  * Hacer gestión de llamadas a los clientes.
  * Participar en las capacitaciones programadas por la compañía .

 **Requisitos:**

  * Experiencia mínima 2 años de experiencia en atención al cliente.

  * Estudios de Administración de empresas, Ingeniería industrial, Relaciones o Negocios Internacionales, Administración turística y hotelera.
  * Adaptabilidad al cambio.
  * Trabajo en equipo.

Tipo de puesto: Tiempo completo, Por contrato

Salario: S/.2,000.00 al mes

Trabajo remoto:

  * No

"
PRACTICANTE ARQUITECTURA,Escuela Angloamericana de Administración y...,"Lima, Lima",None,https://pe.indeed.com/company/Escuela-Angloamericana-de-Administraci%C3%B3n-y-Negocios/jobs/Practicante-arquitectura-8cc6d2b5eac6a100?fccid=80080e4d604d917c&vjs=3,"La Escuela Angloamericana de Administración y Negocios se encuentra en la
búsqueda de 02 practicante de Arquitectura, responsable, comunicativo y
proactivo(a) que cumplan con el siguiente perfil.

REQUISITOS:

\- Estudiantes a partir del 5 ciclos de Arquitectura.

\- Conocimiento de AUTOCAD

\- Conocimiento de programas Office

\- Conocimientos de programas de modelado (revit, sektchup o lumion)

\- Disponibilidad inmediata

FUNCIONES:

\- Apoyo en la realización de proyectos arquitectónicos.

\- Planos de Arquitectura en AUTOCAD.

\- Visualización 3D (Sketchup) y renders (lumion)

Horario de trabajo: lunes a viernes de 09:00 am a 6:00 pm

Tipo de puesto: Prácticas profesionales

COMPETENCIAS:

\- Capacidad de comunicación a todo nivel.

\- Excelentes habilidades de planificación y organización

\- Capacidad para trabajar en equipo.

\- Criterio

Tipo de trabajo: Prácticas

Lugar de trabajo: Remoto

Duración: 90 días

Trabajo remoto:

  * Temporalmente debido al COVID-19

Precauciones ante la COVID-19:

  * Proceso de entrevista remota
  * Reuniones virtuales
  * Programa de Formación Certificado

Duración del contrato: 3 meses

Tipo de puesto: Tiempo completo, Medio tiempo, Beca / prácticas

Trabajo remoto:

  * Temporalmente debido al COVID-19

"
cuidado del adulto mayor,Medical doctorsure,"Lima, Lima+1 ubicación","S/.1,200 - S/.2,000 al mes",https://pe.indeed.com/company/Medical-doctorsure/jobs/Cuidado-adulto-mayor-8583588d75e36171?fccid=e4608e3ec6e74f35&vjs=3,"Se requiere cuidado de adulto mayor de viernes 7:30am a domingo 5pm o viernes
7:30am a martes 5pm.

Asistencia para caminar, bañarse, comer. Peinar, aplicar cremas rostro/cuerpo.

Realizar masajes y ejercicios indicados por la lic. fisioterapia.

Preparación de alimentos para paciente y cuidador (se deja algo sencillo para
calentar, freir, licuar y preparar ensaladas, limonadas, te, etc)

Administración de medicamentos vía oral.

Realizar juegos de memoria, rompecabezas, colorear, leer, conjuntamente con el
paciente.

Lavado (en lavadora), tendido, recogido y doblado de ropa del paciente.
Excepcionalmente planchado.

Limpieza no profunda del dormitorio y baño del paciente.

Limpieza de menaje y espacios utilizados en la cocina.

Tipo de puesto: Medio tiempo

Salario: S/.1,200.00 - S/.2,000.00 al mes

Consideraciones ante el COVID-19:  
Ropa y zapatos para uso exclusivo dentro de la casa.  
Uso estricto de doble mascarilla.  
Lavado de manos continuo.  
Vacunación.  
No ingresará a trabajar con síntomas o temperatura mayor o igual a 37.5.

Trabajo remoto:

  * No

"
ADMINISTRADOR (A) GENERAL,ADL,"Breña, Lima","S/.5,000 - S/.7,000 al mes",https://pe.indeed.com/company/ADL/jobs/Administrador-general-2d749a80aebb1a52?fccid=79503244b11bdd87&vjs=3,"**OBJETIVO DEL PUESTO**

Responsable del control y seguimiento de los procesos administrativos y del
desempeño de cada área de la Empresa, procesos generales, financieros,
recursos humanos, operaciones y logísticos. Así como de su mejora e
innovación.

Velar por el cuidado y custodia de los activos de la empresa y la búsqueda de
la maximización del retorno sobre de la inversión.

 **FUNCIONES:**

  * Maximizar el retorno sobre la inversión anualmente y en el largo plazo

  * Maximizar la eficiencia en los procesos anualmente

  * Minimizar los gastos operacionales mensualmente

  * Lograr los objetivos estratégicos de corto y largo plazo que determine la Gerencia General

  * Lograr el desarrollo de los trabajadores, así como velar por su constante bienestar y elevados índices de productividad y satisfacción laboral.

  * Participar en el proceso de planeación estratégica de la organización, estableciendo los objetivos y metas específicas de la empresa.

  * Supervisar y controlar las actividades referentes a los procesos de recursos humanos, logísticos, contables y financieros, tecnologías de la información y control de gestión de la Empresa.

  * Proponer y asesorar a la Gerencia General, orientado a la mejora continua de los procesos administrativos, financieros, contables y logísticos.

  * Supervisar y hacer cumplir a las áreas bajo su gestión, las obligaciones tributarias y aportaciones sociales.

  * Recibir, evaluar, gestionar y autorizar los gastos solicitados por las Jefaturas, que cumplan con los procesos y necesidades de la Empresa.

  * Informar mensualmente al Gerente General respecto a la gestión y el logro de metas y objetivos

  * Participar en las actividades relacionadas a capacitaciones, inspecciones, auditorias, entre otros que la empresa organice.

  * Controlar el cumplimiento eficiente de los proveedores que dan servicio a la Empresa.

  * Participar en la negociación y elaboración de contratos diversos con terceros y controlar la renovación oportuna de los mismos.

  * Realizar las demás funciones inherentes al puesto u otras que le encargue el Gerente General dentro del ámbito de su competencia.

REQUISITOS:

  * Bachiller en Administración de empresas, Contabilidad, Economía, Ingeniería Industrial

  *  **Experiencia de 5 años en puestos similares, en empresas familiares y/o empresa de manufactura o comercialización. Deseable sector papeles y cartones**

  * Haber ejercido Jefatura en una Unidad de Negocio, con reporte directo a la Gerencial General o dueños de la Empresa.

  * Experiencia de logro de eficiencias en alguna unidad o empresa

  * Experiencia de logro en mejora de procesos

  * Experiencia en financiamiento bancario, gestión financiera y de tesorería

  * Experiencia comprobada en la gestión de personas.

  * Experiencia práctica en gestión de proyectos, contabilidad

  * Conocimientos de importación y exportación y logística

  * Experiencia práctica en conocimientos de normas administrativas legales.

  * Conocimiento de Herramientas de gestión de calidad (Deseable)

  * Experiencia práctica en supervisión y manejo de personal

  * Excel Avanzado

  * Dominio de Office a nivel avanzado

  * Especializaciones de otros cursos relacionados al puesto (Deseable)

 **HORARIO:**

De lunes a viernes de 8:30 am a 6:15 pm sábados: 9:00 a 1:00 pm

Modalidad de trabajo: Presencial

 **SE OFRECE:**

  * Aprender de manera integral de la dinámica empresarial de la comercialización de una empresa con 40 años de experiencia.

  * Desarrollar y entrenarse en la competencia de liderazgo

  * Posibilidad de poner en práctica nuevas ideas y formas efectivas de gestión.

  * Grato ambiente laboral

Salario: S/.5,000.00 - S/.70,000.00 al mes

Tipo de puesto: Tiempo completo

Salario: S/.5,000.00 - S/.7,000.00 al mes

Pregunta(s) de postulación:

  * ¿Tienes experiencia en gestión de personas?
  * ¿ Tienes experiencia práctica en conocimientos de normas administrativas legales?
  * ¿Tienes experiencia en financiamiento bancario, gestión financiera, tesorería, contabilidad?

Experiencia:

  * COMO ADMINISTRADOR EN EMPRESA FAMILIAR: 5 años (Obligatorio)
  * COMO JEFE EN UNA UNIDAD DE NEGOCIO: 5 años (Obligatorio)

Trabajo remoto:

  * No

"
